category,rank,sku,brand,description,price,image_url,captured_at
Football Jig,1,4139649,VMC,VMC Weedless Football Jig - Pumpkin Brown Black - 1/2 oz.,4.49,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/4139649.json,2026-08-19T01:09:50
Football Jig,2,4139648,VMC,VMC Weedless Football Jig - Green Pumpkin Orange - 1/2 oz.,4.49,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/4139648.json,2026-08-19T01:09:50
Suspending Jerkbait,1,4294036,XPS,"Bass Pro Shops XPS Staredown Suspending Jerkbait - Chartreuse Ice - 3-7/8"" - Max Diving Depth 7'",9.99,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/4294036.json,2026-08-19T01:09:50
Suspending Jerkbait,2,4294041,XPS,"Bass Pro Shops XPS Staredown Suspending Jerkbait - Coldwater Shad - 4-1/3"" - Max Diving Depth 7'",9.99,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/4294041.json,2026-08-19T01:09:50
Blade Bait,1,4261489,SteelShad,SteelShad Original Series Blade Bait,11.99,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/4261489.json,2026-08-19T01:09:50
Blade Bait,2,4261488,SteelShad,SteelShad Mini Series Blade Bait,13.99,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/4261488.json,2026-08-19T01:09:50
Lipless Crankbait,1,3227729,Rapala,"Rapala Rippin' Rap Rattling Lipless Crankbait - 2-1/2"" - Moldy Fruit",8.19,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/3227729.json,2026-08-19T01:09:50
Lipless Crankbait,2,3227730,Rapala,"Rapala Rippin' Rap Rattling Lipless Crankbait - 2-1/2"" - Voodoo Haze",8.19,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/3227730.json,2026-08-19T01:09:50
Chatterbait (Bladed Jig),1,4498552,Z-Man,Z-Man ChatterBait MicroMax Bladed Jig - Spot Remover - 3/16 oz.,7.99,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/4498552.json,2026-08-19T01:09:50
Chatterbait (Bladed Jig),2,4498553,Z-Man,Z-Man ChatterBait MicroMax Bladed Jig - Fire Craw - 3/16 oz.,7.99,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/4498553.json,2026-08-19T01:09:50
