item_id,added_at,updated_at,brand,description,sku,price,quantity,image_url,image_filename,source
66c6951f,2026-08-03T21:49:26.401128,2026-08-03T21:49:26.401128,Strike King,"KVD Perfect Plastics Blade Minnow - KVD Magic, 4-1/2"", 8-pack",2146676,6.99,1,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/2146676.json?$BPSSite_orderhistory$,,Cabela's order #W283763341
43b19b78,2026-08-03T21:49:26.401128,2026-08-03T21:49:26.401128,Strike King,"KVD Perfect Plastics Blade Minnow - Bluegill, 4-1/2"", 8-pack",2146684,6.99,1,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/2146684.json?$BPSSite_orderhistory$,,Cabela's order #W283763341
de225ccd,2026-08-03T21:49:26.401128,2026-08-03T21:49:26.401128,Strike King,"Thunder Cricket Swimjig - Chartreuse/White, 1/2 oz.",2585737,13.99,1,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/2585737.json?$BPSSite_orderhistory$,,Cabela's order #W283763341
e06fa700,2026-08-03T21:49:26.401128,2026-08-03T21:49:26.401128,Strike King,"Tour Grade Tungsten Compact Swim Jig - Bluegill, 3/8 oz.",4085380,7.99,1,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/4085380.json?$BPSSite_orderhistory$,,Cabela's order #W283763341
452d901a,2026-08-03T21:49:26.401128,2026-08-03T21:49:26.401128,Megabass,"Vision ONETEN +1 Jr. - HT ITO Tennessee Shad, 3-7/8"", 3/8 oz.",4405280,23.99,1,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/4405280.json?$BPSSite_orderhistory$,,Cabela's order #W283763341
60b23178,2026-08-03T21:49:26.401128,2026-08-03T21:49:26.401128,Strike King,"3XD Series Pro-Model Crankbait - Tennessee Shad 2.0, 2"", 7/16 oz.",2774969,8.99,1,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/2774969.json?$BPSSite_orderhistory$,,Cabela's order #W283763341
1cdefdf5,2026-08-03T21:49:26.401128,2026-08-03T21:49:26.401128,Strike King,"Pro-Model XD Crankbait (5XD) - Tennessee Shad, 2-3/4"", 5/8 oz.",1784868,8.99,1,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/1784868.json?$BPSSite_orderhistory$,,Cabela's order #W283763341
c8d1c84e,2026-08-03T21:49:26.401128,2026-08-03T21:49:26.401128,Z-Man,"Finesse TRD - Coppertreuse, 2-3/4"", 8-pack",4021389,4.49,2,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/4021389.json?$BPSSite_orderhistory$,,Cabela's order #W283763341
faadc935,2026-08-03T21:49:26.401128,2026-08-03T21:49:26.401128,Strike King,"Pro-Model XD Crankbait (5XD) - Chili Craw, 2-3/4"", 5/8 oz.",2242075,8.99,1,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/2242075.json?$BPSSite_orderhistory$,,Cabela's order #W283763341
14cec4ab,2026-08-03T21:49:26.401128,2026-08-03T21:49:26.401128,Strike King,"Pro-Model XD Crankbait (5XD) - Sexy Shad, 2-3/4"", 5/8 oz.",1784879,8.99,1,https://assets.basspro.com/image/list/fn_select:jq:first(.%5B%5D%7Cselect(.public_id%20%7C%20endswith(%22main%22)))/1784879.json?$BPSSite_orderhistory$,,Cabela's order #W283763341
