lat,lon,dominant_class,wooded_frac,cleared_frac,water_frac,n_px
37.374825,-86.212693,cleared,0.463,0.51,0.028,363
37.374824,-86.155762,cleared,0.0,1.0,0.0,595
37.373346,-86.174326,cleared,0.0,1.0,0.0,729
37.373346,-86.173708,cleared,0.0,1.0,0.0,729
37.372845,-86.231256,cleared,0.018,0.891,0.091,496
37.372846,-86.226306,cleared,0.0,1.0,0.0,665
37.372852,-86.174326,cleared,0.0,1.0,0.0,603
37.372352,-86.228781,cleared,0.0,1.0,0.0,591
37.372353,-86.225687,cleared,0.0,1.0,0.0,613
37.372353,-86.224449,cleared,0.0,0.885,0.115,470
37.372357,-86.166901,cleared,0.0,1.0,0.0,723
37.372357,-86.165045,cleared,0.0,1.0,0.0,710
37.371858,-86.22878,cleared,0.0,1.0,0.0,547
37.371859,-86.225686,cleared,0.0,1.0,0.0,698
37.371859,-86.225068,cleared,0.0,1.0,0.0,729
37.371859,-86.22383,cleared,0.0,0.997,0.003,641
37.371864,-86.171233,cleared,0.051,0.948,0.002,572
37.371863,-86.165664,cleared,0.0,1.0,0.0,557
37.371863,-86.163807,cleared,0.0,1.0,0.0,618
37.371364,-86.227543,cleared,0.0,1.0,0.0,729
37.371365,-86.225067,cleared,0.0,1.0,0.0,729
37.371366,-86.223211,cleared,0.002,0.998,0.0,494
37.371366,-86.221355,cleared,0.0,1.0,0.0,587
37.370379,-86.221354,cleared,0.0,0.949,0.051,605
37.370383,-86.176802,cleared,0.0,0.996,0.004,555
37.369885,-86.221973,cleared,0.0,1.0,0.0,728
37.369888,-86.166902,cleared,0.002,0.998,0.0,542
37.36939,-86.223829,cleared,0.0,0.869,0.131,565
37.369391,-86.221973,cleared,0.0,1.0,0.0,620
37.368896,-86.223829,cleared,0.0,1.0,0.0,719
37.368896,-86.22321,cleared,0.0,1.0,0.0,729
37.3689,-86.166902,cleared,0.0,1.0,0.0,728
37.368402,-86.223828,cleared,0.0,1.0,0.0,729
37.367909,-86.223209,cleared,0.0,0.996,0.004,687
37.367912,-86.167521,cleared,0.0,1.0,0.0,631
37.367912,-86.166902,cleared,0.0,1.0,0.0,729
37.367911,-86.161952,cleared,0.0,1.0,0.0,371
37.367415,-86.22259,cleared,0.0,1.0,0.0,729
37.367419,-86.167521,cleared,0.0,1.0,0.0,729
37.367416,-86.155765,wooded,0.957,0.043,0.0,376
37.366925,-86.168759,cleared,0.0,1.0,0.0,634
37.366925,-86.167521,cleared,0.0,1.0,0.0,729
37.366925,-86.166902,cleared,0.0,1.0,0.0,729
37.366925,-86.166284,cleared,0.0,1.0,0.0,727
37.366428,-86.221971,cleared,0.0,1.0,0.0,729
37.366428,-86.221352,cleared,0.0,1.0,0.0,661
37.366431,-86.167521,cleared,0.0,1.0,0.0,729
37.365933,-86.223827,cleared,0.0,1.0,0.0,627
37.365933,-86.223208,cleared,0.0,0.964,0.036,637
37.365934,-86.221352,cleared,0.0,1.0,0.0,729
37.36544,-86.223208,cleared,0.0,0.909,0.091,570
37.36544,-86.222589,cleared,0.0,0.989,0.011,533
37.36544,-86.220733,cleared,0.0,1.0,0.0,729
37.365441,-86.218258,cleared,0.0,1.0,0.0,606
37.364946,-86.222589,cleared,0.0,0.958,0.042,546
37.364946,-86.22197,cleared,0.0,1.0,0.0,462
37.364453,-86.218877,cleared,0.0,1.0,0.0,621
37.364454,-86.215164,cleared,0.0,1.0,0.0,557
37.363959,-86.219495,cleared,0.0,1.0,0.0,681
37.363465,-86.220732,wooded,0.451,0.434,0.115,521
37.363465,-86.220114,cleared,0.0,1.0,0.0,394
37.363465,-86.219495,cleared,0.0,1.0,0.0,532
37.362971,-86.220113,cleared,0.0,0.891,0.109,608
37.362971,-86.219495,cleared,0.0,0.985,0.015,530
37.362971,-86.218876,cleared,0.0,1.0,0.0,420
37.362972,-86.218257,cleared,0.0,1.0,0.0,666
37.362974,-86.167522,cleared,0.0,1.0,0.0,552
37.362477,-86.220113,cleared,0.0,1.0,0.0,728
37.362477,-86.219494,cleared,0.0,0.92,0.08,647
37.36248,-86.169379,cleared,0.0,1.0,0.0,729
37.361983,-86.220113,cleared,0.0,1.0,0.0,719
37.36149,-86.220113,cleared,0.01,0.99,0.0,696
37.36149,-86.219494,cleared,0.0,1.0,0.0,729
37.36149,-86.218875,cleared,0.0,1.0,0.0,673
37.360996,-86.219494,cleared,0.0,1.0,0.0,729
37.360008,-86.218256,cleared,0.0,0.902,0.098,429
37.360011,-86.169379,cleared,0.0,1.0,0.0,694
37.359515,-86.217637,cleared,0.0,1.0,0.0,729
37.359515,-86.217018,cleared,0.0,1.0,0.0,698
37.359517,-86.168761,cleared,0.0,1.0,0.0,634
37.359021,-86.217018,cleared,0.0,1.0,0.0,729
37.359021,-86.2164,cleared,0.0,1.0,0.0,624
37.359023,-86.166286,cleared,0.0,1.0,0.0,444
37.358527,-86.217018,cleared,0.0,1.0,0.0,729
37.358527,-86.216399,cleared,0.0,1.0,0.0,729
37.358528,-86.215781,cleared,0.002,0.998,0.0,631
37.358034,-86.216399,cleared,0.0,1.0,0.0,719
37.358034,-86.215162,wooded,0.559,0.441,0.0,610
37.35754,-86.21578,cleared,0.0,0.956,0.044,549
37.35754,-86.215162,cleared,0.021,0.979,0.0,572
37.357542,-86.167524,cleared,0.0,1.0,0.0,729
37.357541,-86.166286,cleared,0.0,1.0,0.0,583
37.357046,-86.215161,cleared,0.0,0.98,0.02,655
37.357046,-86.214543,cleared,0.0,1.0,0.0,697
37.357047,-86.208975,cleared,0.0,0.981,0.019,698
37.357048,-86.168761,cleared,0.0,1.0,0.0,729
37.357047,-86.166287,cleared,0.0,1.0,0.0,620
37.356552,-86.215161,cleared,0.0,0.956,0.044,572
37.356552,-86.214543,cleared,0.0,1.0,0.0,729
37.356553,-86.213924,cleared,0.065,0.935,0.0,536
37.356554,-86.208975,cleared,0.0,1.0,0.0,681
37.356554,-86.166905,cleared,0.0,1.0,0.0,644
37.356554,-86.166287,cleared,0.0,1.0,0.0,588
37.356059,-86.214542,cleared,0.0,0.978,0.022,634
37.356059,-86.213924,cleared,0.0,1.0,0.0,690
37.35606,-86.209593,cleared,0.0,0.989,0.011,661
37.35606,-86.167524,cleared,0.0,1.0,0.0,639
37.355565,-86.214542,cleared,0.0,0.947,0.053,561
37.355565,-86.213924,cleared,0.0,1.0,0.0,729
37.355565,-86.213305,cleared,0.036,0.964,0.0,529
37.355565,-86.212686,cleared,0.0,1.0,0.0,346
37.355565,-86.211449,cleared,0.0,1.0,0.0,689
37.355565,-86.21083,cleared,0.0,1.0,0.0,656
37.355566,-86.166287,cleared,0.0,1.0,0.0,661
37.355071,-86.213923,cleared,0.0,1.0,0.0,618
37.355071,-86.213305,cleared,0.0,1.0,0.0,577
37.355071,-86.212686,cleared,0.0,1.0,0.0,729
37.355071,-86.212067,cleared,0.0,1.0,0.0,729
37.355072,-86.165668,cleared,0.0,1.0,0.0,729
37.354577,-86.213923,cleared,0.0,0.973,0.027,594
37.354577,-86.213305,cleared,0.0,1.0,0.0,729
37.354577,-86.212686,cleared,0.0,1.0,0.0,727
37.354578,-86.212067,cleared,0.0,0.958,0.042,573
37.354578,-86.21083,cleared,0.406,0.594,0.0,679
37.354578,-86.166287,cleared,0.0,1.0,0.0,717
37.354578,-86.165669,cleared,0.0,1.0,0.0,605
37.354577,-86.161957,cleared,0.0,1.0,0.0,678
37.354083,-86.214542,cleared,0.0,0.898,0.102,460
37.354083,-86.213923,cleared,0.0,1.0,0.0,720
37.354083,-86.213304,cleared,0.0,1.0,0.0,729
37.354084,-86.212686,cleared,0.0,0.97,0.03,598
37.354084,-86.212067,cleared,0.17,0.828,0.002,542
37.354084,-86.211449,wooded,0.768,0.232,0.0,587
37.354084,-86.21083,wooded,0.919,0.081,0.0,565
37.354084,-86.166287,cleared,0.0,1.0,0.0,704
37.354084,-86.165669,cleared,0.0,1.0,0.0,676
37.354083,-86.16072,cleared,0.0,1.0,0.0,709
37.354083,-86.160101,cleared,0.0,1.0,0.0,626
37.353589,-86.214542,cleared,0.0,0.964,0.036,612
37.353589,-86.213923,cleared,0.0,1.0,0.0,729
37.35359,-86.213304,cleared,0.0,0.934,0.066,619
37.35359,-86.212686,cleared,0.0,0.993,0.007,703
37.35359,-86.21083,cleared,0.01,0.99,0.0,697
37.35359,-86.163813,cleared,0.0,0.972,0.028,568
