ident,lat,lon,structure_type
NRL001,37.34056726,-86.12512085,Brush
NRL002,37.34033341,-86.12512655,Brush
NRL003,37.340292,-86.13350518,Brush
NRL004,37.34064404,-86.13325272,Brush
NRL005,37.34227885,-86.13208679,Brush
NRL006,37.34258713,-86.13242056,Brush
NRL007,37.34251748,-86.1323758,Brush
NRL008,37.34290263,-86.13295893,Brush
NRL009,37.3430302,-86.13313428,Brush
NRL010,37.34303573,-86.13326621,Brush
NRL011,37.34314285,-86.13329547,Brush
NRL012,37.34311259,-86.13346327,Brush
NRL013,37.34372548,-86.13452291,Brush
NRL014,37.34394433,-86.13778096,Brush
NRL015,37.34398297,-86.13828588,Brush
NRL016,37.3439388,-86.13917445,Brush
NRL017,37.34391315,-86.13935164,Brush
NRL018,37.34384316,-86.13993863,Brush
NRL019,37.34422537,-86.13971592,Brush
NRL020,37.34426108,-86.13981072,Brush
NRL021,37.34462259,-86.13965305,Brush
NRL022,37.34499785,-86.13930093,Brush
NRL023,37.34520254,-86.14102819,Brush
NRL024,37.34544578,-86.14214676,Brush
NRL025,37.34583411,-86.14220023,Brush
NRL026,37.34614257,-86.14226712,Brush
NRL027,37.34492853,-86.14463232,Brush
NRL028,37.34497237,-86.14456569,Brush
NRL029,37.34754687,-86.14435824,Brush
NRL030,37.3453089,-86.14548937,Brush
NRL031,37.34339272,-86.1515655,Brush
NRL032,37.34333974,-86.15179491,Brush
NRL033,37.34342423,-86.15270033,Brush
NRL034,37.34347955,-86.15345503,Brush
NRL035,37.34775801,-86.15604487,Brush
NRL036,37.34911554,-86.15728556,Brush
NRL037,37.34791023,-86.15786257,Brush
NRL038,37.35033453,-86.16266532,Brush
NRL039,37.35030225,-86.16281041,Brush
NRL040,37.35012942,-86.16302365,Brush
NRL041,37.3500016,-86.16329337,Brush
NRL042,37.34965475,-86.16389084,Brush
NRL043,37.34978383,-86.16394892,Brush
NRL044,37.35042891,-86.16700094,Brush
NRL045,37.34989464,-86.16699885,Brush
NRL046,37.34991945,-86.16638755,Brush
NRL047,37.34942148,-86.16609276,Brush
NRL048,37.34913072,-86.16721652,Brush
NRL049,37.34854432,-86.16787836,Brush
NRL050,37.34815791,-86.16778951,Brush
NRL051,37.34762533,-86.16810358,Brush
NRL052,37.33241636,-86.15354757,Brush
NRL053,37.33243623,-86.15264635,Brush
NRL054,37.33243681,-86.15264735,Brush
NRL055,37.3342038,-86.15072387,Brush
NRL056,37.33405544,-86.15017788,Brush
NRL057,37.3338029,-86.1497556,Brush
NRL058,37.33144297,-86.14839085,Brush
NRL059,37.33139528,-86.14826077,Brush
NRL060,37.33245769,-86.14504061,Brush
NRL061,37.3326866,-86.14419119,Brush
NRL062,37.33225836,-86.14231632,Brush
NRL063,37.33214789,-86.1416663,Brush
NRL064,37.33182276,-86.14083541,Brush
NRL065,37.33181161,-86.14057406,Brush
NRL066,37.33120669,-86.14085779,Brush
NRL067,37.33076303,-86.13910287,Brush
NRL068,37.33111256,-86.13844145,Brush
NRL069,37.3310647,-86.13812788,Brush
NRL070,37.33096294,-86.13772329,Brush
